127.0.0.1 - - [10/Nov/2016:09:03:27 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:36 +0530] "GET /Traning_Management/sessioncreate.jsp HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:37 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:50 +0530] "GET /Traning_Management/adminindex.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:50 +0530] "GET /Traning_Management/css/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:50 +0530] "GET /Traning_Management/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:50 +0530] "GET /Traning_Management/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:50 +0530] "GET /Traning_Management/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:50 +0530] "GET /Traning_Management/css/960_24_col.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:50 +0530] "GET /Traning_Management/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/angularjs/module/mainApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/angularjs/controller/controllerjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/angularjs/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/fonts/sourcesanspro-regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/headerstrip.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/logotitle.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/adminmenustrip.jsp HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/footer.jsp HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/images/tms.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/fonts/CaviarDreams-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/fonts/entypo.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:51 +0530] "GET /Traning_Management/employeecreate.jsp HTTP/1.1" 200 3652
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:03:53 +0530] "GET /Traning_Management/sessioncreate.jsp HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:04:57 +0530] "GET /Traning_Management/adminindex.jsp HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:04:57 +0530] "GET /Traning_Management/css/960_24_col.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:04:57 +0530] "GET /Traning_Management/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:04:57 +0530] "GET /Traning_Management/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:04:57 +0530] "GET /Traning_Management/css/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:04:57 +0530] "GET /Traning_Management/css/forms.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:04:57 +0530] "GET /Traning_Management/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2016:09:04:58 +0530] "GET /Traning_Management/angularjs/angular.min.js HTTP/1.1" 304 -
